,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
Term1,performance,oi,technology,research,knowledge,social
Term2,firm,research,firm,process,firm,study
Term3,effect,study,collaboration,new,external,business
Term4,network,firm,industry,company,study,model
Term5,smes,capability,patent,model,source,idea
Term6,relationship,paper,study,development,search,service
Term7,external,knowledge,knowledge,ha,research,research
Term8,project,approach,university,case,absorptive_capacity,platform
Term9,result,process,research,paper,ha,market
Term10,positive,practice,technological,industry,finding,based
Term11,study,purpose,ha,challenge,practice,ecosystem
Term12,product,finding,external,study,management,economy
Term13,organizational,performance,strategy,organization,performance,online
Term14,impact,result,activity,system,product,economic
Term15,paper,analysis,partner,wa,level,sector
Term16,model,management,policy,based,process,analysis
Term17,data,relationship,based,technology,information,information
Term18,influence,based,result,management,openness,result
Term19,positively,literature,paper,approach,organizational,enterprise
Term20,show,design_methodology,value,network,intermediary,customer
