,Document,Category,T1,T2,T3,T4,T5,T6
0,"Open practices have been at the forefront of research, business and political agendas for some time. Traditionally, research has focused on analysing critical factors for the deployment of Open Source (OS) Software and has highlighted the roles of ""Collective Intelligence"" and ""participation in voluntary communities"" in facilitating OS development. Nevertheless, there is little literature examining the role these Open Innovation practices may play in influencing the private-collective model of innovation and its application in economies-in-crisis to create public-good innovations. To address this gap, this paper uses the case of Greece. Data were gathered from interviews conducted with public policy makers and private sector top executives. The findings underline the importance of using OS as software to deal with cost reduction during debt crisis; but more importantly reveal a shift from OS to utilising the aforementioned Open Innovation practices to support the creation of public-good innovations through the private-collective model of innovation, and the difficulties faced in encouraging this initiative due to insufficient national innovation policy, and different philosophies, structures, and cultures followed by the organisations. The study calls for changes in the national policy supported by the private-collective model to leverage innovation. ",Social Sciences & Humanities,0.026,-0.04,-0.023,-0.028,0.013,-0.026
1,"A conceptual model has been developed to present comprehensively the processes and linkages of invention and Open Innovation for those knowledge workers who want to transform idea of a new product or service into a reality. The progression of idea conceptualization, realization and marketing is further divided into two phases; first is invention and second is Open Innovation. These phases are integrated into a complex framework representing a comprehensive flowchart which provides a snapshot of gradual transition of invention processes into Open Innovation processes. The conceptual model rests on existing literature that methodologically connects access to finance, funding constraints, cognitive and social dimensions, skills, mental model, conceptual knowledge and knowledge production capacity of the scientists (i.e., knowledge worker), scope and pioneering of the invention, technological infrastructure, collaboration with private firms and universities and utilization of digital technologies. The invention, as well as Open Innovation activities, are discussed with respect to World Intellectual Property Organization and Global Innovation Index country rankings and the number of patents filed and granted to the world including Pakistan. The framework is a rigorous but rewarding process for a knowledge worker who designs and develops a new product, process, procedure, mechanism and methodology to serve humanity and the marketplace. ",Social Sciences & Humanities,0.035,-0.015,-0.052,0.05,0.03,0.024
2,"A critical success factor in the practice of Open Innovation is the timely identification of opportunities for out-licensing a firm's technologies outside its core business. This can be particularly challenging for small- and medium-sized enterprise (SMEs), because of their focussed business portfolio, specialized knowledge basis, and limited financial resources that can be devoted to innovation activities. The paper illustrates a quick and easy-to-use methodology for the identification of viable opportunities for out-licensing a firm's technologies outside its core business. The method uses established TRIZ instruments in combination with non-financial weighting and ranking techniques and portfolio management tools. It has been developed by the authors in collaboration with an Italian SME working in the packaging industry. ",Social Sciences & Humanities,0.021,0.016,-0.01,-0.006,0.019,0.02
3,"A growing number of chain actors, together with difficulties in single-handedly meeting the heterogeneous needs of customers, end-users and legislators, is driving the food industry to open up to external sources of knowledge in search of successful new products and technologies. Empirical evidence of food companies engaging in Open Innovation remains, however, scarce, as do detailed analyses of related business strategies. We review extant literature on Open Innovation practices in the food industry and analyze their effects on the sector's innovation capabilities and market outcomes. Finally, we draw implications for food innovation and highlight areas where research is needed. ",Life Sciences,0.018,-0.007,-0.015,0.0,0.0,0.028
4,"A reverse supply chain, as a post-consumption activity, aims at extracting value from products at end of their life cycle (Mafakher and Nasiri, Journal of Cleaner Production 59: 185-196, 2013). As well, company's awareness is attracting increasing attention toward sustainable business practices. Open-innovation is a typical example of coordinative activity that a manufacturer should share a profits generated through reverse supply chain with retailer. The aim of this paper provide insights toward Open Innovation practice in sharing profits between two strategic partners, manufacturer and retailer to maximize an individual profits as well as total profits concurrently in reverse supply chain. For analyzing effects of Open Innovation strategies, we modeled reverse supply chain environments using system dynamics approach and compared the gap of profits between non-coordinative (decentralized) and coordinative activity. Three cooperative contracts in terms of how to share the cost and profit between two parties are proposed in this paper. Each contract was analyzed according to the following three contract processes. The first stage is that manufacturer proposes contracts to retailer. The second is that retailer evaluates proposed contracts and choices the best contract which can lead to maximize its expected profit. Finally retailer and manufacturer adjust parameters of the best contract for achieving mutual goal of supply chain. Through the experimental results, we discuss best coordinative strategy between manufacturer and retailer in order to maximize a profit in reverse SC. ",Social Sciences & Humanities,0.022,-0.016,-0.009,-0.022,-0.002,-0.004
5,"Each individual member of an organization must recognize and lead innovation, which can be affected by human resource development (HRD) investments and organizational changes. In this study, we aimed to verify how HRD investment at the individual level relates to employee perceptions of organizational innovativeness and to examine how the intensity of organizational change, a situational factor at the organizational level, affects the relationship between HRD investment and employee perceptions of organizational innovativeness through multilevel analysis using hierarchical linear models. We performed an analysis based on the responses from5184 workers and 125 companies where corporate-level and personal-level data were matched in a Human Capital Corporate Panel (HCCP) survey. HRDinvestment by employees was shown to increase the perception of organizational innovativeness. The results demonstrated that the intensity of organizational change moderated the relationship between HRD investment and the perception of organizational innovativeness. However, the stronger the organizational change intensity, the weaker the positive effect of HRD investment on the perception of organizational innovativeness. Finally, we presented theoretical and practical implications and further research tasks related to the HRD of corporations and Open Innovation. ",Social Sciences & Humanities,0.028,-0.022,-0.004,-0.007,-0.051,-0.009
6,"Geographic research on firm-level innovation is generally premised on the idea of Open Innovation, suggesting that innovation occurs more readily in urban settings or clusters, which generate local buzz and allow access to external actors. However, a growing body of evidence demonstrates that firms also introduce first-to-market innovations in remote locations. In this exploratory paper, building upon work by Philip McCann, we outline a conceptual framework that connects innovators (differentiated by information source and frequency of interaction with interlocutors) and location (distance from a metropolitan area): slow innovators, relying on non-market-sourced information and infrequent contacts, will be overrepresented in isolated locations. Fast innovators, relying on market-sourced information and frequent interactions, will locate closer to cities. Our results confirm this. Our interpretation of these results – slow innovators are more reliant on technological information which loses value more slowly than faster decaying market-oriented information – requires further investigation. ",Social Sciences & Humanities,0.021,0.02,-0.01,-0.011,0.004,-0.013
7,"Academia–enterprise collaboration is understood as a determinant that improves innovation and competitiveness. The mechanisms by which this collaboration occurs have awakened increasing interest among academics, as well as in the business sector. This research aims to identify how Open Innovation communities can mediate the academia-enterprise relationship, as well as the factors that are more affected by this mediation. Based on the literature, the article addresses the definition of Open Innovation communities (OICs), university–enterprise cooperation, knowledge transfer (KT), as well as an understanding of OICs as a mechanism for academia–enterprise transfer. An analysis of twelve OICs, conformed by professors, students, graduates, and experts from a Colombian higher education institution is performed. For the data analysis, a factor analysis involving structural equation modeling is carried out. Our results highlight the most important characteristics to take into account in the study of knowledge transfer when OICs are involved, and they also indicate the level of connection between these factors. ",Social Sciences & Humanities,0.024,-0.022,-0.016,0.02,-0.009,-0.008
8,"Academics and practitioners have demonstrated that Open Innovation is critical to superior performance; firms thereby connect their in-house R&D functions with external partners to enhance their innovation activities. This study extends the Open Innovation theory and the knowledge-based view to explain how a firm's external knowledge resource acquisition influences its innovation deployment as well as its performance. Specifically, we argue that technology scouting plays an important role as an antecedent to collaboration with horizontal and vertical technology acquisitions. Furthermore, the horizontal technology collaboration and vertical technology collaboration play mediators in determining firm performance returns from executing such acquisitions. Based on a large-scale survey of high-tech firms, the study finds that the ability to build well-developed external connection channels increases the efficacy of inbound Open Innovation in achieving superior performance. ",Social Sciences & Humanities,0.041,0.07,-0.007,0.008,-0.024,0.069
9,"According to the WHO Global Digital Health Strategy 2020-2024, we should advocate people-centred health systems, promote global collaboration and strengthen the governance of global digital health practices. All this requires a new Open Innovation approach, which means that stakeholders from regional administrations, hospitals, companies and intermediate organisations openly work together towards commonly identified global and regional digital health goals. Although both practice and theory have proven that the Open Innovation approach is beneficial for companies and end-users, there is still a need for increased understanding of what leads to the success of digital health related to regional competitiveness through the implementation of policies based on people-centred Open Innovation. This study is a longitudinal case study in which Open Innovation ecosystem partners (including challengers (healthcare organisation representatives), solvers (companies), funders (policy organisations) and supporters (intermediate organisations) were monitored and analysed in three countries. The focus of the paper is to explore a digital health Open Innovation ecosystem over the years. The results show that the created demand-driven Open Innovation model can be used to strengthen the governance of digital health, and to improve communication density and knowledge transfer between the ecosystem actors. The new model is a useful way to make funding structures clearer and to improve the people centricity of digital health solutions. The findings help policy-makers to use Open Innovation as a policy instrument supporting hospital and company managers to increase understanding of the opportunities of demand-driven Open Innovation. ",Social Sciences & Humanities,0.034,-0.044,-0.038,-0.018,0.015,-0.004
10,"Accounts of open source software (OSS) development projects frequently stress their democratic, sometimes even anarchic nature, in contrast to for-profit organisations. Given this observation, our research evaluates qualitative data from Wikipedia, a free online encyclopaedia whose development mechanism allegedly resembles that of OSS projects. Our research offers contributions to the field of Open Innovation research with three major findings. First, we shed light on Wikipedia as a phenomenon that has received scant attention from management scholars to date. Second, we show that OSS-related motivational mechanisms partially apply to Wikipedia participants. Third, our exploration of Wikipedia also reveals that its organisational mechanisms are often perceived as bureaucratic by contributors. This finding was unexpected since this type of problem is often associated with for-profit organisations. Such a situation risks attenuating the motivation of contributors and sheds a critical light on the nature of Wikipedia as a role model for Open Innovation processes. ",Social Sciences & Humanities,0.021,-0.03,-0.016,-0.016,0.007,-0.017
11,"Achange in U.S. patent law in the early 1980s increased the value of patents, particularly for firms in the electronics and semiconductors industry, yet many of the industry's leading firms did not embrace patenting after the change. We show through an in-depth study of International Business Machines (IBM), the world's largest patentee, that the company's practices during much of the 1980s discouraged patenting. IBM adopted pro-patent management practices in 1989 after the installation of a new research and development head and in the face of faltering financial performance. IBM's increased patenting and licensing activities improved its financial bottom lines but curtailed its industry-wide knowledge spillovers. These causes and consequences of pro-patent practices are visible in several other large U.S. corporations. Thus, in the context of the ""patent explosion"" of the 1980s, we show that intraorganizational forces such as inertia, financial pressures, and new leadership shaped established firms' uptake of pro-patent management practices and their success. Our findings also suggest that pro-patent practices associated with ""Open Innovation"" may stem the free flow of knowledge across organizational boundaries. ",Social Sciences & Humanities,0.037,0.023,-0.004,0.01,0.025,-0.027
